name,total_screw_length,body_screw_length,body_screw_width,head_screw_width,head_max_loc,thread_count
ovalheadphillips_sheetmetal_stainless_#08x2p00,1.989189,1.824324,0.167568,0.313514,0.059459,32
ovalheadphillips_sheetmetal_stainless_#08x2p00,1.997297,1.827027,0.167568,0.313514,0.062162,32
ovalheadphillips_sheetmetal_stainless_#08x2p00,2,1.8,0.167568,0.313514,0.064865,33
ovalheadphillips_sheetmetal_stainless_#08x2p00,2,1.8,0.162162,0.313514,0.051351,32
ovalheadphillips_sheetmetal_stainless_#08x2p00,1.975676,1.794595,0.172973,0.313514,0.051351,33
ovalheadphillips_sheetmetal_stainless_#08x2p00,1.97027,1.818919,0.167568,0.313514,0.051351,32
ovalheadphillips_sheetmetal_stainless_#10x1p25,1.267568,1.072973,0.194595,0.351351,0.054054,17
ovalheadphillips_sheetmetal_stainless_#10x1p25,1.267568,1.094595,0.189189,0.351351,0.051351,17
ovalheadphillips_sheetmetal_stainless_#10x1p25,1.262162,1.067568,0.189189,0.351351,0.045946,17
ovalheadphillips_sheetmetal_stainless_#10x1p25,1.254054,1.064865,0.191892,0.351351,0.040541,17
ovalheadphillips_sheetmetal_stainless_#10x1p25,1.254054,1.159459,0.189189,0.351351,0.054054,18
ovalheadphillips_sheetmetal_stainless_#10x1p25,1.251351,1.054054,0.183784,0.351351,0.054054,17
ovalheadphillips_sheetmetal_stainless_#10x1p25,1.245946,1.059459,0.189189,0.345946,0.051351,17
ovalheadphillips_sheetmetal_stainless_#10x1p25,1.243243,1.07027,0.191892,0.345946,0.045946,17
ovalheadphillips_sheetmetal_stainless_#10x1p25,1.243243,1.048649,0.194595,0.351351,0.056757,17
ovalheadphillips_sheetmetal_stainless_#10x1p25,1.243243,1.051351,0.186486,0.351351,0.056757,17
panheadphillips_sheetmetal_stainless_#06x0p50,0.583784,0.456757,0.140541,0.254054,0.048649,10
panheadphillips_sheetmetal_stainless_#06x0p50,0.586486,0.445946,0.132432,0.264865,0.054054,9
panheadphillips_sheetmetal_stainless_#06x0p50,0.586486,0.459459,0.127027,0.264865,0.040541,9
panheadphillips_sheetmetal_stainless_#06x0p50,0.594595,0.483784,0.140541,0.264865,0.045946,10
panheadphillips_sheetmetal_stainless_#06x0p50,0.594595,0.464865,0.12973,0.264865,0.045946,9
panheadphillips_sheetmetal_stainless_#06x0p50,0.594595,0.462162,0.12973,0.27027,0.054054,9
panheadphillips_sheetmetal_stainless_#06x0p50,0.583784,0.427027,0.135135,0.264865,0.051351,9
panheadphillips_sheetmetal_stainless_#06x0p50,0.583784,0.443243,0.151351,0.27027,0.062162,9
panheadphillips_sheetmetal_stainless_#06x0p50,0.594595,0.451351,0.12973,0.264865,0.075676,9
panheadphillips_sheetmetal_stainless_#06x0p50,0.589189,0.47027,0.135135,0.259459,0.054054,10
panheadphillips_sheetmetal_stainless_#06x0p625,0.718919,0.57027,0.140541,0.264865,0.07027,11
panheadphillips_sheetmetal_stainless_#06x0p625,0.710811,0.572973,0.145946,0.27027,0.056757,12
panheadphillips_sheetmetal_stainless_#06x0p625,0.716216,0.567568,0.140541,0.264865,0.081081,12
panheadphillips_sheetmetal_stainless_#06x0p625,0.716216,0.575676,0.140541,0.259459,0.054054,12
panheadphillips_sheetmetal_stainless_#06x0p625,0.713514,0.583784,0.145946,0.27027,0.067568,12
panheadphillips_sheetmetal_stainless_#06x0p625,0.710811,0.562162,0.137838,0.264865,0.064865,11
panheadphillips_sheetmetal_stainless_#06x0p625,0.710811,0.575676,0.140541,0.264865,0.059459,12
panheadphillips_sheetmetal_stainless_#06x0p625,0.713514,0.589189,0.140541,0.27027,0.083784,12
panheadphillips_sheetmetal_stainless_#06x0p625,0.716216,0.581081,0.140541,0.264865,0.072973,12
panheadphillips_sheetmetal_stainless_#06x0p625,0.716216,0.575676,0.140541,0.27027,0.086486,12
panheadphillips_sheetmetal_stainless_#06x1p50,1.581081,1.437838,0.145946,0.275676,0.07027,28
panheadphillips_sheetmetal_stainless_#06x1p50,1.583784,1.443243,0.140541,0.27027,0.067568,28
panheadphillips_sheetmetal_stainless_#06x1p50,1.562162,1.418919,0.145946,0.275676,0.056757,29
panheadphillips_sheetmetal_stainless_#06x1p50,1.564865,1.437838,0.140541,0.275676,0.062162,28
panheadphillips_sheetmetal_stainless_#06x1p50,1.597297,1.440541,0.140541,0.281081,0.062162,28
panheadphillips_sheetmetal_stainless_#06x1p50,1.57027,1.42973,0.140541,0.27027,0.056757,28
panheadphillips_sheetmetal_stainless_#06x1p50,1.578378,1.437838,0.140541,0.275676,0.07027,28
panheadphillips_sheetmetal_stainless_#06x1p50,1.559459,1.421622,0.145946,0.264865,0.051351,29
panheadphillips_sheetmetal_stainless_#06x1p50,1.559459,1.424324,0.156757,0.27027,0.056757,28
panheadphillips_sheetmetal_stainless_#06x1p50,1.562162,1.445946,0.135135,0.275676,0.064865,28
panheadphillips_sheetmetal_stainless_#08x1p25,1.372973,1.224324,0.156757,0.324324,0.078378,22
panheadphillips_sheetmetal_stainless_#08x1p25,1.389189,1.22973,0.162162,0.324324,0.094595,22
panheadphillips_sheetmetal_stainless_#08x1p25,1.359459,1.216216,0.167568,0.324324,0.081081,22
panheadphillips_sheetmetal_stainless_#08x1p25,1.356757,1.208108,0.172973,0.324324,0.081081,22
panheadphillips_sheetmetal_stainless_#08x1p25,1.362162,1.208108,0.162162,0.324324,0.07027,22
panheadphillips_sheetmetal_stainless_#08x1p25,1.356757,1.167568,0.164865,0.318919,0.064865,21
panheadphillips_sheetmetal_stainless_#08x1p25,1.367568,1.221622,0.156757,0.318919,0.072973,22
panheadphillips_sheetmetal_stainless_#08x1p25,1.37027,1.221622,0.156757,0.318919,0.078378,22
panheadphillips_sheetmetal_stainless_#08x1p25,1.394595,1.194595,0.156757,0.324324,0.07027,21
panheadphillips_sheetmetal_stainless_#08x1p25,1.389189,1.221622,0.162162,0.324324,0.086486,22
panheadphillips_sheetmetal_stainless_#12x0p75,0.92973,0.716216,0.216216,0.432432,0.12973,10
panheadphillips_sheetmetal_stainless_#12x0p75,0.891892,0.7,0.210811,0.432432,0.113514,9
panheadphillips_sheetmetal_stainless_#12x0p75,0.864865,0.659459,0.218919,0.437838,0.121622,9
panheadphillips_sheetmetal_stainless_#12x0p75,0.87027,0.640541,0.251351,0.432432,0.116216,9
panheadphillips_sheetmetal_stainless_#12x0p75,0.867568,0.62973,0.213514,0.421622,0.137838,9
panheadphillips_sheetmetal_stainless_#12x0p75,0.875676,0.702703,0.227027,0.432432,0.113514,10
panheadphillips_sheetmetal_stainless_#12x0p75,0.883784,0.705405,0.216216,0.427027,0.094595,10
panheadphillips_sheetmetal_stainless_#12x0p75,0.867568,0.62973,0.210811,0.427027,0.143243,9
panheadphillips_sheetmetal_stainless_#12x0p75,0.891892,0.710811,0.227027,0.432432,0.089189,10
panheadphillips_sheetmetal_stainless_#12x0p75,0.859459,0.632432,0.218919,0.427027,0.091892,9
panheadphillips_sheetmetal_stainless_#12x1p50,1.683784,1.47027,0.210811,0.427027,0.105405,20
panheadphillips_sheetmetal_stainless_#12x1p50,1.67027,1.467568,0.210811,0.421622,0.143243,20
panheadphillips_sheetmetal_stainless_#12x1p50,1.672973,1.440541,0.216216,0.421622,0.089189,20
panheadphillips_sheetmetal_stainless_#12x1p50,1.664865,1.440541,0.216216,0.416216,0.094595,20
panheadphillips_sheetmetal_stainless_#12x1p50,1.662162,1.432432,0.210811,0.421622,0.110811,20
panheadphillips_sheetmetal_stainless_#12x1p50,1.667568,1.456757,0.210811,0.427027,0.1,20
panheadphillips_sheetmetal_stainless_#12x1p50,1.654054,1.464865,0.216216,0.421622,0.102703,21
panheadphillips_sheetmetal_stainless_#12x1p50,1.662162,1.47027,0.216216,0.421622,0.105405,20
panheadphillips_sheetmetal_stainless_#12x1p50,1.7,1.464865,0.216216,0.432432,0.118919,20
panheadphillips_sheetmetal_stainless_#12x1p50,1.654054,1.437838,0.221622,0.421622,0.089189,20
panheadphillips_sheetmetal_stainless_#12x3p00,3.237838,3.002703,0.243243,0.454054,0.121622,40
panheadphillips_sheetmetal_stainless_#12x3p00,3.262162,2.989189,0.221622,0.443243,0.105405,39
panheadphillips_sheetmetal_stainless_#12x3p00,3.264865,3.002703,0.210811,0.443243,0.102703,40
panheadphillips_sheetmetal_stainless_#12x3p00,3.256757,3,0.210811,0.448649,0.105405,39
panheadphillips_sheetmetal_stainless_#12x3p00,3.256757,3.002703,0.205405,0.448649,0.105405,39
panheadphillips_sheetmetal_stainless_#12x3p00,3.267568,3.02973,0.210811,0.443243,0.091892,39
panheadphillips_sheetmetal_stainless_#12x3p00,3.264865,3.002703,0.210811,0.459459,0.108108,39
panheadphillips_sheetmetal_stainless_#12x3p00,3.259459,3.016216,0.227027,0.448649,0.086486,39
panheadphillips_sheetmetal_stainless_#12x3p00,3.27027,3.013514,0.237838,0.448649,0.102703,39
panheadphillips_sheetmetal_stainless_#12x3p00,3.259459,2.997297,0.232432,0.448649,0.108108,40
